Name,Curators Note,Dietary Preference,Link,Must Try,Recommended Time,Tags,Ticket Price,Timings,Trivia
"Cauvery Arts and Crafts ","Good place to buy handicrafts from. ",,"https://www.google.com/maps/place/Cauvery,+Karnataka+State+Arts+%26+Crafts+Emporium/@12.3136976,76.6137382,14z/data=!4m10!1m2!2m1!1scauvery+arts+and+crafts+mysore!3m6!1s0x3baf7072b3a0b80f:0x59135bdbe7f2fe29!8m2!3d12.3136976!4d76.651847!15sCh5jYXV2ZXJ5IGFydHMgYW5kIGNyYWZ0cyBteXNvcmVaICIeY2F1dmVyeSBhcnRzIGFuZCBjcmFmdHMgbXlzb3JlkgELY3JhZnRfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTklOa2xEYzJoblJSQULgAQD6AQQIABA9!16s%2Fg%2F11bt_nw6qx?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,,Shopping,,10 am – 8 pm,
"Pairu Oraginc Shop ",,,"https://www.google.com/maps/place/PAIRU+Organics+%26+Naturals+shops/@12.3235393,76.6238092,17z/data=!4m6!3m5!1s0x3baf7b4fe8f04dcd:0x23ca2f5fdb402d15!8m2!3d12.323578!4d76.6237737!16s%2Fg%2F11f6h8mtvt?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=455f7dc5-7145-4da2-af42-4bd9bdcc5fa1",,,Shopping,,10 am – 8:30 pm and 4 pm - 8:30 on Sundays,
"Prakriti Foods ",,,"https://www.google.com/maps/place/Prakriti+Food/@12.3021141,76.6394257,17z/data=!4m15!1m8!3m7!1s0x3baf7aa9df3eb1d3:0x3b679fe0f49b1557!2sPrakriti+Food!8m2!3d12.3023824!4d76.6396049!10e5!16s%2Fg%2F1tglxf54!3m5!1s0x3baf7aa9df3eb1d3:0x3b679fe0f49b1557!8m2!3d12.3023824!4d76.6396049!16s%2Fg%2F1tglxf54?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,,Shopping,,10 am–8:30 pm and 10 am-2 pm on Sundays,
"Jayalakshmipura Mansion ","GORGGGGGG. I wish I lived here with my two cats. ",,"https://www.google.com/maps/place/Jayalakshmi+Vilas+Mansion+%E0%B2%9C%E0%B2%AF%E0%B2%B2%E0%B2%95%E0%B3%8D%E0%B2%B7%E0%B3%8D%E0%B2%AE%E0%B3%80+%E0%B2%B5%E0%B2%BF%E0%B2%B2%E0%B2%BE%E0%B2%B8%E0%B3%8D+%E0%B2%85%E0%B2%B0%E0%B2%AE%E0%B2%A8%E0%B3%86/@12.3139233,76.620392,17.53z/data=!4m6!3m5!1s0x3baf7a95b9400001:0xff7e7090219430ac!8m2!3d12.3139265!4d76.6222273!16zL20vMGY5N2t6?entry=tts&g_ep=EgoyMDI1MTExNy4wIPu8ASoASAFQAw%3D%3D&skid=9c7b493e-6656-4fd0-891c-b08bce56a514",,,Around the city,,"11 am–4 pm and they are closed on Sundays. ","The mansion was constructed in 1905 by Maharaja Chamaraja Wodeyar for his eldest daughter, Princess Jayalakshmi Ammani, as a luxurious residence for her after her marriage to Sirdar M. Kantharaj Urs, who later became the Dewan of Mysore. Set on 800 acres of land atop a hillock by Kukkarahalli Lake, the building cost was Rs. 7 lakhs at the time and showcased Mysore's architectural artistry and grandeur. The mansion has played a part in Mysore's royal history and was sometimes called the First Rajkumari Mansion. Jayalakshmi Vilas Mansion has 125 rooms, 300 windows, and 287 ornate doors spread across 6 acres. Its layout consists of three wings and includes distinctive spaces like a dancing hall (Kalyana Mantapa), residential suites, and a stained-glass dome. In 2025, the mansion is receiving further preservation due to a five-year conservation grant from the Deccan Heritage Foundation and the Harish & Bina Shah Foundation. Restoration work continues to maintain its historical and aesthetic integrity, and cultural events related to folklore and academics are regularly hosted."
"Mezzaluna ","Best place for lunch. Love the garlic bread bun. Best honey chilli potato. ",non veg,"google.com/maps/place/Mezzaluna+Indian+%26+Continental+Restaurant/@12.3240562,76.6253353,17z/data=!3m2!4b1!5s0x3baf7a8fdca20063:0x41e43828c7902c3a!4m6!3m5!1s0x3baf7a8cdbb1506b:0x9016041854a47320!8m2!3d12.324051!4d76.6279102!16s%2Fg%2F1tf9r85_?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=7247ec4b-8ecb-43b8-b36b-7077269257ea","Chicken steaks, ravioli, honey chilli fries. ",Lunch and dinner,Food,,12–3:30 pm and 6:45–10:30 pm,
"aira Sadhana ",,,"https://www.google.com/maps/place/aira+Sadhana/@12.3324758,76.6267949,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7b00134787fd:0x134120dcaa2b0858!8m2!3d12.3324706!4d76.6293698!16s%2Fg%2F11x5n3_43q?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=31b13cec-c57e-4255-ae93-c155da7fd517",,,Stays,,,
Anokhi Cafe,,Veg,"google.com/maps/place/Anokhi+Café/@26.9108034,75.798574,17z/data=!4m6!3m5!1s0x396db404514544db:0x9843ccdbbc52c2f3!8m2!3d26.9108034!4d75.798574!16s%2Fg%2F11btyl5rdd?entry=tts&g_ep=EgoyMDI1MTIwMS4wIPu8ASoASAFQAw%3D%3D&skid=e4b96b91-9531-4ee1-9a78-7ed2045c51ec",,,Food,,10 am – 8 pm,
"MySouth ",,non veg,"https://www.google.com/maps/place/MySouth/@12.2980626,76.6654861,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf71d3ef53d987:0x8accc3e6a805b389!8m2!3d12.2980626!4d76.6654861!16s%2Fg%2F11fkvnldqf?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,,Food,,"7pm–11 pm. 
On the weekends - 12:30–3 pm and 7pm–11 pm",
"Olive Garden ","They have swans swimming around the restaurants. ",non veg,"https://www.google.com/maps/place/Le+Olive+Garden+Mysore/@12.2919342,76.6693658,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf6fd9c39c8809:0x8aa666d78abbdfed!8m2!3d12.291929!4d76.6719407!16s%2Fg%2F1tfrqcbs?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=a686f0be-c0fb-4a9e-a566-38d6e774b026",,,"Drinks, Food",,7 am – 11:30 pm,
Marata Mess,"Really good non veg food. ",non veg,"https://www.google.com/maps/place/Marata+Mess/@12.2963153,76.63752,17z/data=!4m6!3m5!1s0x3baf7aa9f2dc41eb:0x1a10aa9290748a20!8m2!3d12.2964652!4d76.6400607!16s%2Fg%2F11bwf82fft?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,"For dinner. ",Food,,12:30 – 4 pm and they are closed on Sundays.,
Guru Sweets,You should parcel some because you its a small store and the street is crowded and noisy.,Veg,"https://www.google.com/maps/place/Guru+Sweet+Mart/@12.3099089,76.6500204,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf700d897521a9:0x11f6c39d349dabb9!8m2!3d12.3099037!4d76.6525953!16s%2Fg%2F124ykmkdn?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=bb16b1cc-9a10-47e3-8ee7-2a98266c7b42",,Morning. Its a very busy street. Go before the crowd gets there.,Food,,8:30 am – 10:30 pm,
Noodle Theory,,Veg,"https://www.google.com/maps/place/The+noodle+theory,+Mysore+(Pan+Asian)/@12.7009651,77.1216094,8z/data=!4m6!3m5!1s0x3baf7b993fdabacd:0x27ae51f9eea472b9!8m2!3d12.3229162!4d76.6228477!16s%2Fg%2F11j3sx3npt?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Lotus stem chips.,,Food,,12 pm – 10:30 pm,
Varuna Lake,Very clean and pretty lake. Barely any crowd. You can sit anywhere by the lake. Good pace for bird watching.,,"https://www.google.com/maps/place/Varuna+Lake/@12.274395,76.7433746,17.02z/data=!4m6!3m5!1s0x3baf6de8167bbdf7:0x3848e7e8c17b2529!8m2!3d12.2740728!4d76.7459164!16s%2Fg%2F1tcztd2w?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=7f023fbb-52e4-4a29-96fe-e64836124816",,Sunset time.,Around the city,,,
Lakshamana Mess,,non veg,"https://www.google.com/maps/place/Lakshman+Mess/@12.3043113,76.6487525,17z/data=!4m6!3m5!1s0x3baf700fb81830a3:0xc0809b37c45f3b74!8m2!3d12.3043113!4d76.6513274!16s%2Fg%2F11c1q9jq38?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,Breakfast/brunch,Food,,7 am–11 pm and they are closed on Mondays.,
Tegu Mess,,non veg,"https://www.google.com/maps/place/Tegu+Mess/@12.3234145,76.6257683,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7a902015a939:0x5615c372db190152!8m2!3d12.3234093!4d76.6283432!16s%2Fg%2F124sr1yxf?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=8464273a-b7ec-4fc4-98b1-0771ab25b39c",,Breakfast,Food,,"7 am–3:30 pm and 7pm–9:30 pm. 
They are closed on Mondays. ",
Usman Dry Gobi,Very yum. But gets crowded very fast so i don’t go here much.,Veg,"https://www.google.com/maps/place/Usman+Dry+Gobi+(%E0%B2%89%E0%B2%B8%E0%B3%8D%E0%B2%AE%E0%B2%BE%E0%B2%A8%E0%B3%8D+%E0%B2%A1%E0%B3%8D%E0%B2%B0%E0%B3%88+%E0%B2%97%E0%B3%8B%E0%B2%AC%E0%B2%BF)/@12.3076903,76.6453665,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf700ea11c16f7:0xb23845d93d5264fd!8m2!3d12.3076851!4d76.6479414!16s%2Fg%2F11c5_xdy6p?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=cbc35cc3-a154-4840-9b7c-caee8513fd82",,,Food,,6–10:30 pm. They are closed on Wednesdays.,
"Chtiranna Cart ",Not a fan of chitranna but this is great.,Veg,"https://www.google.com/maps/place/Chitranna+Cart/@12.3091245,76.6633709,19.06z/data=!4m6!3m5!1s0x3baf71c8e8b23a27:0xb8e95fc80185ec7b!8m2!3d12.3087351!4d76.6639883!16s%2Fg%2F11n8lk3z80?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=97b9c192-dd95-4d49-a789-8a63663bb1b0",Chitranna,,Food,,I actually don’t know. But they are open through evenings and late night.,
"Chutney Dip ",Idly melts in your mouth.,Veg,"https://www.google.com/maps/place/Chutney+Dip+%E0%B2%9A%E0%B2%9F%E0%B3%8D%E0%B2%A8%E0%B2%BF+%E0%B2%A1%E0%B2%BF%E0%B2%AA%E0%B3%8D/@12.3056501,76.6254768,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7b7b854bd3dd:0x82745e7d611dfe10!8m2!3d12.3056449!4d76.6280517!16s%2Fg%2F11tfh3732g?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=70a0dc39-8658-4886-85bb-025ec72c8997",Thate idly,Morning.,Food,,7:30–10:30 am and they are open all day on Sundays.,
"Deepu Dosa Hotel ",,Veg,"https://www.google.com/maps/place/Deepu+Dosa+Hotel/@12.3072351,76.6339846,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7b900d302f21:0x9afc2168431e15b5!8m2!3d12.3072299!4d76.6365595!16s%2Fg%2F11mh_8y4w8?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=55f4f1df-86ab-4198-9797-16fe445faec3",Masala dosa.,Early mornings.,Food,,8 am – 11:30 am,
Ambaari Sugarcane Juice,I’m not a sugarcane person but the cart is very pretty.,Veg,"https://www.google.com/maps/place/Ambaari+Sugarcane+Juice/@12.3072258,76.6357625,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7bd5ae9ccd0b:0x85bddd3f3c562b59!8m2!3d12.3072206!4d76.6383374!16s%2Fg%2F11rrvkflpx?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=03fa5b27-b5ea-4634-8a65-12b3edf763ca",,,Food,,5:30 am – 7:30 pm,
"Mysore Railway Museum ",They have converted one old bogie into a simple cafe. Its nice. Good place to take kids.,,"https://www.google.com/maps/place/MYSURU+RAILWAY+MUSEUM/@12.3327368,76.5254448,12z/data=!4m6!3m5!1s0x3baf7075a5dd3cd3:0x31cb5be481e0c44a!8m2!3d12.3163393!4d76.643323!16s%2Fm%2F027jsxk?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,,Around the city,,10 am – 6 pm and they are closed on Tuesdays.,
Regional Museum of Natural History Mysuru,"They have a whale skeleton inside which is cool. Everything else is pretty mid. You can access it through the zoo and the lake. ",,"https://www.google.com/maps/place/Regional+Museum+of+Natural+History+Mysuru/@12.3327368,76.5254448,12z/data=!4m7!3m6!1s0x3baf7a9d41a46833:0xf86cb80ba0cb98d3!8m2!3d12.3064201!4d76.6750756!15sChFtdXNldW1zIGluIG15c29yZZIBBm11c2V1baoBRhABKgsiB211c2V1bXMoADIeEAEiGqL5qN-G3I0JmvZyOkNdVW0xt76j49GB6i7QMhUQAiIRbXVzZXVtcyBpbiBteXNvcmXgAQA!16s%2Fm%2F027hpgr?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=be54d22f-3e54-463c-beb4-73030baac294",,,Around the city,Its free.,10 am – 6 pm and they are closed on Mondays.,
Jaganmohan Palace,Beautifule gallery. The lady with the lamp painting is stunning. Do not miss going here.,,"https://www.google.com/maps/place/Jaganmohan+Palace+(Sri+Jayachamarajendra+Art+Gallery)+And+Auditorium/@12.3327368,76.5254448,12z/data=!4m7!3m6!1s0x3baf700e61f5f96d:0xf53a44a722005fcc!8m2!3d12.3068751!4d76.6498627!15sChFtdXNldW1zIGluIG15c29yZZIBCmFydF9tdXNldW2qAUYQASoLIgdtdXNldW1zKAAyHhABIhqi-ajfhtyNCZr2cjpDXVVtMbe-o-PRgeou0DIVEAIiEW11c2V1bXMgaW4gbXlzb3Jl4AEA!16zL20vMGR4ZzNn?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=d6bdc616-a58e-44bb-a59d-47cb75f996ca",,Anytime.,Around the city,₹35. Take cash.,8:30 am – 5 pm," It's one of the oldest modern buildings in Mysore, over 160 years old now. Construction started in 1856 and finished in 1861. It was built by Krishnaraja Wodeyar III as a backup palace for the royal family.

The main Mysore Palace was being renovated and rebuilt at various points, so the royals needed somewhere else to stay. Jaganmohan Palace was meant to be that alternate home—a place where the king and his family could live when the main palace was under construction.

In 1896, during Princess Jayalakshmanni's wedding celebrations, the old wooden Mysore Palace caught fire and got seriously damaged. The decision was made to demolish it completely and build a new one. Construction on the new Mysore Palace started in 1897 and took until 1912 to complete.
During those 15 years, Jaganmohan Palace became the main royal residence. Major events happened here—the king held his daily court, special Dasara ceremonies, and even his coronation in 1902 (with Lord Curzon, the Governor-General of India, attending).

Once the new Mysore Palace was finished in 1912, the royal family moved back. But Jaganmohan Palace continued to be used for royal ceremonies and events. In 1915, it was converted into an art gallery. In 1955, it was officially renamed the Sri Jayachamarajendra Art Gallery in honor of one of the last ruling maharajas.

It's an art museum with over many paintings including the works by famous Indian artists like Raja Ravi Varma, plus paintings from Mughal, Shantiniketan, and other Western styles. They also have sculptures, weapons, antique coins, musical instruments, and all kinds of royal artifacts. There's even a famous painting called ""Lady with the Lamp"" that gets its own special room."
RK Narayan Museum,,,"https://www.google.com/maps/place/Rk+Narayan+House,+14,+Medar+Block,+Yadavagiri,+Mysuru,+Karnataka+570020/@12.3279975,76.6405606,18z/data=!4m6!3m5!1s0x3baf7a827174083f:0x97289ca677904ede!8m2!3d12.3279826!4d76.6407776!16s%2Fg%2F11vwpszh5h?entry=tts&g_ep=EgoyMDI1MTExNy4wIPu8ASoASAFQAw%3D%3D&skid=0b619d36-9a9b-4e55-a435-07547b53533c",,,Around the city,"I actually don’t know, sorry. But I’m sure its not much and please take cash.",10:00 AM to 5:00 PM and I think they are closed on Tuesdays.,"He lived much of his adult life in Mysore. He wrote 34 novels and hundreds of stories, with internationally acclaimed works like Swami and Friends, The Guide, Malgudi Days, The Man-Eater of Malgudi, and The Bachelor of Arts. Graham Greene was his mentor and helped him publish some of his early work. Malgudi, his most famous creation, was inspired by places in Mysore and Chennai. He drove a Mercedes-Benz in Mysore, an unusual luxury for mid-20th-century India, after literary success. He famously said Mysore was ideal for writers because of its “integrity, peace, and simplicity”. His was restored and opened to the public as a museum that displays memorabilia, original manuscripts, photographs, his personal library, and period furnishings."
Payana Car Museum,"There is a breakfast place in the parking lot, so its nice to eat and go in. A small morning outing. Or you can stop by one the way to Mysore is you are on the blr-mys highway.",,"https://www.google.com/maps/place/Payana+Car+Museum/@12.2838968,76.5057206,12z/data=!4m7!3m6!1s0x3baf7700672be947:0x75adc120a576d7cf!8m2!3d12.3898698!4d76.6690849!15sChFtdXNldW1zIGluIG15c29yZZIBBm11c2V1baoBRhABKgsiB211c2V1bXMoADIeEAEiGqL5qN-G3I0JmvZyOkNdVW0xt76j49GB6i7QMhUQAiIRbXVzZXVtcyBpbiBteXNvcmXgAQA!16s%2Fg%2F11vr055mqy?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=ff72f307-a619-4d24-a4c7-ecedeab54d76",,Right when it opens.,Around the city,,9 am – 7:30 pm,
Mysore Palace Museum,,,"https://www.google.com/maps/place/Mysore+Palace+Museum/@12.2838968,76.5057206,12z/data=!4m7!3m6!1s0x3baf71fa33d696cd:0xa3843342ae97691a!8m2!3d12.3035723!4d76.6552167!15sChFtdXNldW1zIGluIG15c29yZZIBBm11c2V1baoBRhABKgsiB211c2V1bXMoADIeEAEiGqL5qN-G3I0JmvZyOkNdVW0xt76j49GB6i7QMhUQAiIRbXVzZXVtcyBpbiBteXNvcmXgAQA!16s%2Fg%2F11mvrn942t?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=9f72b91c-dff3-4580-a874-b21f6515b3d0",,Earlier the best,Around the city,₹100,10 am - 5:30 pm,"The Mysore Palace Museum houses two collections - the main museum in the palace building and the Private Residential Museum in the surviving old palace section. The star attractions include the legendary Golden Throne (Chinnada Simhasana) weighing 280 kilograms of solid gold, said to have belonged to the Pandavas and only displayed during Dussehra, and the magnificent Golden Howdah weighing 750 kilograms with 80-85 kg of gold sheets, which once carried the king during Dasara processions and now carries Goddess Chamundeshwari's idol. The collection also features nine oil paintings by Raja Ravi Varma commissioned in 1904, Tipu Sultan's sword, Czech chandeliers, solid silver doors, royal weaponry, costumes, vintage photographs, hunting trophies, a mechanical roof-operated lift, wrestling trophies, and period furniture."
Bonsai Garden,,,"https://www.google.com/maps/place/Kishkindha+Moolika+Bonsai+Garden/@12.2845261,76.5055654,12z/data=!4m7!3m6!1s0x3baf6fe4232c14bf:0xb60ece94f134f4ae!8m2!3d12.2845261!4d76.6580007!15sCg1ib25zYWkgZ2FyZGVuWg8iDWJvbnNhaSBnYXJkZW6SARBib3RhbmljYWxfZ2FyZGVuqgFTCgkvbS8wMTdjM3cQASoRIg1ib25zYWkgZ2FyZGVuKAAyHhABIhqtwZHuQ7cgVUmkub_qwPZszFPHgJoqht51YDIREAIiDWJvbnNhaSBnYXJkZW7gAQA!16s%2Fg%2F12603k8tz?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=c7d40de1-4bbe-49b6-a80e-e82a55780d23",,"Mornings. ",Around the city,"It’s free. ",10 am – 12:30 pm and 3:30–5:30 pm,
Rajan’s food Truck ,"My friends runs this food truck. You should definitely give it a try. ",non veg,"https://www.google.com/maps/place/Rajans+food+Truck+(New+Location!)/@12.3020852,76.6876511,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7100060b4b7b:0xe24562a606c9fd1b!8m2!3d12.30208!4d76.690226!16s%2Fg%2F11w1kjmq10?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=55f5ef6a-bae3-4b6d-82bd-718425783ed1","Fusion Shawarmas, Peri Peri Grill, Peri Peri chicken Strips, Mushroom Tokas","Evening. ",Food,,5:30 PM to 11:00 PM,
Hanumantu Palao,Haven’t been here since high school but don’t go here if you like fancy dining. This is more of a military hotel vibe.,non veg,"https://www.google.com/maps/place/Hotel+Hanumanthu+original+since+1930/@12.3181832,76.6471026,16.42z/data=!4m7!3m6!1s0x3baf706d882be7af:0xe1f4be0c49c945c6!8m2!3d12.318024!4d76.652585!15sChdoYW51bWFudGh1IHBhbGF2IG15c29yZVoZIhdoYW51bWFudGh1IHBhbGF2IG15c29yZZIBGW5vbl92ZWdldGFyaWFuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTk1iamt6ZUdGUkVBReABAPoBBAgAEEE!16s%2Fg%2F1tfmg7tz?entry=tts&g_ep=EgoyMDI1MTExNy4wIPu8ASoASAFQAw%3D%3D&skid=93236302-eded-4338-97c6-a86b1469cdd8",,,Food,,,
"Tonga Ride ","Its fun for kids but the horses aren’t taken care of very well. So don’t get on them. ",,"https://www.google.com/maps/place/Statue+of+Chamarajendra+Wodeyar/@12.3083111,76.6556441,20z/data=!4m6!3m5!1s0x3baf7013d51bed45:0x5b1cc5188c206161!8m2!3d12.3083111!4d76.6558264!16s%2Fg%2F11c0w15pmb?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",,Nights.,Around the city,,,
Pelican Pub,It very recently closed. Just paying homage here because I loved going here. It was loved by everyone in the city.,"Veg, non veg","https://www.google.com/maps/place/Pelican+Grub+House+Restaurant/@12.3276383,76.609467,15z/data=!4m7!3m6!1s0x3baf7a96cdfaae13:0xda20cbf7da1f694e!8m2!3d12.3176676!4d76.6253319!15sCgtwZWxpY2FuIHB1YloNIgtwZWxpY2FuIHB1YpIBCnJlc3RhdXJhbnSqATQQATIfEAEiG1E5ZQbQwjoY0Gh0YqDSM-gITD6Ce6LLPs9lFTIPEAIiC3BlbGljYW4gcHVi4AEA!16s%2Fg%2F1tfb0fpz?entry=tts&g_ep=EgoyMDI1MDkxNy4wIPu8ASoASAFQAw%3D%3D&skid=f6a589ae-80c1-4e1d-bd19-a521a8374966",,,"Drinks, Food",,,
KSIC Silk Weaving Factory,,,,,,,,,
Lingambudhi Lake,Good place to watch some birds.,,"https://www.google.com/maps/place/Lingambudhi+Lake/@12.2693925,76.6016783,15z/data=!3m1!4b1!4m6!3m5!1s0x3baf653dd39abf31:0x7371268881f2ae58!8m2!3d12.269372!4d76.611978!16s%2Fm%2F03cydgr?entry=tts&g_ep=EgoyMDI1MTEyMy4xIPu8ASoASAFQAw%3D%3D&skid=e87762a8-3b4a-4ab6-ada5-062c67fb45ef",,"Sunset ",Around the city,,"7 am - 6 am ",
Jini's Pilates Studio and Cafe,"Lovely place to workout and get brunch with friends. ",non veg,"https://www.google.com/maps/place/Jini's+Pilates+Studio/@12.3268793,76.6277247,17z/data=!4m15!1m8!3m7!1s0x3baf7b4f1b581c5d:0xc2979d218c32a80!2sJini's+Pilates+Studio!8m2!3d12.3268019!4d76.6276458!10e5!16s%2Fg%2F11kr8qtwt_!3m5!1s0x3baf7b4f1b581c5d:0xc2979d218c32a80!8m2!3d12.3268019!4d76.6276458!16s%2Fg%2F11kr8qtwt_?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D","Smoothies bowls, mushroom millet bowl and chicken and rice bowl.",Mornings or evenings.,"Around the city, Food",,6 am–10 pm,
Fresh Catch Seafood Restaurant,,non veg,"https://www.google.com/maps/place/Fresh+Catch+Seafood+Restaurant/@12.3267566,76.6274021,19.79z/data=!4m6!3m5!1s0x3baf7a8f053bc20b:0xd4be5cad0ef097be!8m2!3d12.3270118!4d76.6274214!16s%2Fg%2F11gdzs6nrt?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=ab762909-ce40-42ab-8ccb-11f93d32392f","Mango fish curry, Magalore fish curry, Tandoori white fish",,Food,,12pm – 11 pm,
Kafe Biriyani Corner,,non veg,"https://www.google.com/maps/place/Kafe+Biriyani+Corner/@12.2944005,76.6231062,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7ab3c3df9e63:0xa37d1c0b82c17a0f!8m2!3d12.2943953!4d76.6256811!16s%2Fg%2F1vlqnnll?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=fa9b1677-c976-40b2-a9f9-42260f002da0",Biryani,Lunch,Food,,11:30 am–11 pm,
Rongkup's Lee Restaurant,It’s a nice place for a date.,"Veg, non veg","https://www.google.com/maps/place/Rongkup's+Lee+Restaurant/@12.3276149,76.6184793,18.15z/data=!4m6!3m5!1s0x3baf7bd417b47225:0xcc1c8e8b4d39f5e4!8m2!3d12.3273387!4d76.6189526!16s%2Fg%2F11gxwrwkw0?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=d68af1ba-89b5-4689-bd97-08260d630951",Pad Thai,For dinner,Food,,10:30 am–10:30 pm,
Baskin Robins,Love sitting outside here and do one of my fav activities….people watching.,,"https://www.google.com/maps/place/Baskin+Robbins+Ice-Creams/@12.3257369,76.557747,13z/data=!3m1!5s0x3baf7af3b30f8341:0x67562f97b977dd8b!4m7!3m6!1s0x3baf7af3b2d8a2c5:0xc67c2c600d90258!8m2!3d12.3257324!4d76.6143534!15sCg5CYXNraW4tUm9iYmlucyIDiAEBWhAiDmJhc2tpbiByb2JiaW5zkgEOaWNlX2NyZWFtX3Nob3CqAWQKDS9nLzExYncyMW01M3kKCS9tLzAxX2s1NhABKhIiDmJhc2tpbiByb2JiaW5zKAAyHhABIhoL_krKaROEPkckRdPDeAJ5HMupwpFH7NxbEjISEAIiDmJhc2tpbiByb2JiaW5z4AEA!16s%2Fg%2F11c605k6lp?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=ed371411-ff92-4ea8-91a2-18aa5a97f3d6",,"Post 7 in the evening. ",Food,,11 am–11:30 pm,
